[༄༅། །​འཕགས་པ་རྗེ་བཙུན་འཇམ་དཔལ་གྱི་དོན་དམ་པའི་བསྟོད་པ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། ཨཱརྱ་བྷནྚཱ་ར་ཀ་མཉྫུ་_44_],༄༅། །​འཕགས་པ་རྗེ་བཙུན་འཇམ་དཔལ་གྱི་དོན་དམ་པའི་བསྟོད་པ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། ཨཱརྱ་བྷནྚཱ་ར་ཀ་མཉྫུ་_44_,༄༅། །​འཕགས་པ་རྗེ་བཙུན་འཇམ་དཔལ་གྱི་དོན་དམ་པའི་བསྟོད་པ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། ཨཱརྱ་བྷནྚཱ་ར་ཀ་མཉྫུ་_44_,༄༅། །​འཕགས་པ་རྗེ་བཙུན་འཇམ་དཔལ་གྱི་དོན་དམ་པའི་བསྟོད་པ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། ཨཱརྱ་བྷནྚཱ་ར་ཀ་མཉྫུ་_44_,༄༅༅། །​རྒྱ་གར་སྐད་དུ། ཨཱརྱ་བྷནྚཱ་ར་ཀ་མཉྫུ་_22_,༄༅༅། །​རྒྱ་གར་སྐད་དུ། ཨཱརྱ་བྷནྚཱ་ར་ཀ་མཉྫུ་_22_,རྒྱ་གར་སྐད་དུ། ཨཱ་ཪྻ་བྷ་ནཱ་ར་ཀ་མ་ཉྫུ་_11_,༅༅། །​རྒྱ་གར་སྐད་དུ། ཨཱརྱ་བྷཊྚཱ་ར་ཀ་མཉྫཱུ་_11_,༄༅། །​རྒྱ་གར་སྐད་དུ། ཨཱརྱ་བྷཏྟཱ་ར་ཀ་མཉྫཱ་_11_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[འོན་_100_],འོན་_100_,འོན་_100_,འོན་_100_,འོན་_100_,འོན་_100_,འོན་_100_,འོན་_100_,འོན་_100_
[ཀྱང་_100_],ཀྱང་_100_,ཀྱང་_100_,ཀྱང་_100_,ཀྱང་_100_,ཀྱང་_100_,ཀྱང་_100_,ཀྱང་_100_,ཀྱང་_100_
[འཇིག་_100_],འཇིག་_100_,འཇིག་_100_,འཇིག་_100_,འཇིག་_100_,འཇིག་_100_,འཇིག་_100_,འཇིག་_100_,འཇིག་_100_
[རྟེན་_100_],རྟེན་_100_,རྟེན་_100_,རྟེན་_100_,རྟེན་_100_,རྟེན་_100_,རྟེན་_100_,རྟེན་_100_,རྟེན་_100_
[བཏགས་_100_],བཏགས་_100_,བཏགས་_100_,བཏགས་_100_,བཏགས་_100_,བཏགས་_100_,བཏགས་_100_,བཏགས་_100_,བཏགས་_100_
[རྟེན་_66_],རྟེན་_66_,བརྟེན་_22_,བརྟེན་_22_,རྟེན་_66_,རྟེན་_66_,རྟེན་_66_,རྟེན་_66_,རྟེན་“_11_
[གྱིས_100_],གྱིས_100_,གྱིས_100_,གྱིས_100_,གྱིས_100_,གྱིས_100_,གྱིས_100_,གྱིས_100_,གྱིས_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[ཁྱོད་_100_],ཁྱོད་_100_,ཁྱོད་_100_,ཁྱོད་_100_,ཁྱོད་_100_,ཁྱོད་_100_,ཁྱོད་_100_,ཁྱོད་_100_,ཁྱོད་_100_
