[༄༅། །​ཤེས་རབ་བརྒྱ་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།༄༅༅། །​_36_],༄༅། །​ཤེས་རབ་བརྒྱ་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།༄༅༅། །​_36_,༄༅། །​ཤེས་རབ་བརྒྱ་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།༄༅༅། །​_36_,༄༅། །​ཤེས་རབ་བརྒྱ་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།༄༅༅། །​_36_,༄༅༅། །​_27_,༄༅༅། །​_27_,༄༅།  །​_9_,༄༅༅། །​_27_,༄༅། །​ ཤེས་རབ་བརྒྱ་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།༄༅། །​_9_,_9_,༄༅། །​_9_
[བསྟན་_100_],བསྟན་_100_,བསྟན་_100_,བསྟན་_100_,བསྟན་_100_,བསྟན་_100_,བསྟན་_100_,བསྟན་_100_,བསྟན་_100_,བསྟན་_100_,བསྟན་_100_
[བཅོས་_100_],བཅོས་_100_,བཅོས་_100_,བཅོས་_100_,བཅོས་_100_,བཅོས་_100_,བཅོས་_100_,བཅོས་_100_,བཅོས་_100_,བཅོས་_100_,བཅོས་_100_
[ལས_100_],ལས_100_,ལས_100_,ལས_100_,ལས_100_,ལས_100_,ལས_100_,ལས_100_,ལས_100_,ལས_100_,ལས_100_
[། །​_90_],། །​_90_,། །​_90_,། །​_90_,། །​_90_,། །​_90_,།  །​_9_,། །​_90_,། །​_90_,། །​_90_,། །​_90_
[དངོས་_100_],དངོས་_100_,དངོས་_100_,དངོས་_100_,དངོས་_100_,དངོས་_100_,དངོས་_100_,དངོས་_100_,དངོས་_100_,དངོས་_100_,དངོས་_100_
[པོ་_100_],པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_
[གང་_100_],གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_
[དག་_100_],དག་_100_,དག་_100_,དག་_100_,དག་_100_,དག་_100_,དག་_100_,དག་_100_,དག་_100_,དག་_100_,དག་_100_
[གཟིགས་_100_],གཟིགས་_100_,གཟིགས་_100_,གཟིགས་_100_,གཟིགས་_100_,གཟིགས་_100_,གཟིགས་_100_,གཟིགས་_100_,གཟིགས་_100_,གཟིགས་_100_,གཟིགས་_100_
[གྱུར་_72_],གྱུར་_72_,གྱུར་_72_,གྱུར་_72_,ཕྱུར་_27_,ཕྱུར་_27_,གྱུར་_72_,ཕྱུར་_27_,གྱུར་_72_,གྱུར་_72_,གྱུར་_72_
[པ_100_],པ_100_,པ_100_,པ_100_,པ_100_,པ_100_,པ_100_,པ_100_,པ_100_,པ_100_,པ_100_
[། །​_90_],། །​_90_,། །​_90_,། །​_90_,། །​_90_,། །​_90_,།  །​_9_,། །​_90_,། །​_90_,། །​_90_,། །​_90_
[དེ་_100_],དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_
[དག་_100_],དག་_100_,དག་_100_,དག་_100_,དག་_100_,དག་_100_,དག་_100_,དག་_100_,དག་_100_,དག་_100_,དག་_100_
[ཡི་_100_],ཡི་_100_,ཡི་_100_,ཡི་_100_,ཡི་_100_,ཡི་_100_,ཡི་_100_,ཡི་_100_,ཡི་_100_,ཡི་_100_,ཡི་_100_
[གེ་_100_],གེ་_100_,གེ་_100_,གེ་_100_,གེ་_100_,གེ་_100_,གེ་_100_,གེ་_100_,གེ་_100_,གེ་_100_,གེ་_100_
[མང་_100_],མང་_100_,མང་_100_,མང་_100_,མང་_100_,མང་_100_,མང་_100_,མང་_100_,མང་_100_,མང་_100_,མང་_100_
[པོ་_100_],པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_
[ཡིས_100_],ཡིས_100_,ཡིས_100_,ཡིས_100_,ཡིས_100_,ཡིས_100_,ཡིས_100_,ཡིས_100_,ཡིས_100_,ཡིས_100_,ཡིས_100_
[། །​_90_],། །​_90_,། །​_90_,། །​_90_,། །​_90_,། །​_90_,།  །​_9_,། །​_90_,། །​_90_,། །​_90_,། །​_90_
[འཇིགས་_100_],འཇིགས་_100_,འཇིགས་_100_,འཇིགས་_100_,འཇིགས་_100_,འཇིགས་_100_,འཇིགས་_100_,འཇིགས་_100_,འཇིགས་_100_,འཇིགས་_100_,འཇིགས་_100_
