[༄༅། །​༄༅༅། །​_50_],༄༅། །​༄༅༅། །​_50_,༄༅། །​༄༅༅། །​_50_,༄༅། །​༄༅༅། །​_50_,༄༅༅། །​_25_,༄༅༅། །​_25_,༄༅། །​_12_,ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ།_12_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[ཆོས་_100_],ཆོས་_100_,ཆོས་_100_,ཆོས་_100_,ཆོས་_100_,ཆོས་_100_,ཆོས་_100_,ཆོས་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_
[དགེ་_100_],དགེ་_100_,དགེ་_100_,དགེ་_100_,དགེ་_100_,དགེ་_100_,དགེ་_100_,དགེ་_100_
[འདུན་_100_],འདུན་_100_,འདུན་_100_,འདུན་_100_,འདུན་_100_,འདུན་_100_,འདུན་_100_,འདུན་_100_
[ལྷ་_100_],ལྷ་_100_,ལྷ་_100_,ལྷ་_100_,ལྷ་_100_,ལྷ་_100_,ལྷ་_100_,ལྷ་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_
[ལྷ་_100_],ལྷ་_100_,ལྷ་_100_,ལྷ་_100_,ལྷ་_100_,ལྷ་_100_,ལྷ་_100_,ལྷ་_100_
[མིན་_100_],མིན་_100_,མིན་_100_,མིན་_100_,མིན་_100_,མིན་_100_,མིན་_100_,མིན་_100_
[གྱིས་_100_],གྱིས་_100_,གྱིས་_100_,གྱིས་_100_,གྱིས་_100_,གྱིས་_100_,གྱིས་_100_,གྱིས་_100_
[བསྟོད་_100_],བསྟོད་_100_,བསྟོད་_100_,བསྟོད་_100_,བསྟོད་_100_,བསྟོད་_100_,བསྟོད་_100_,བསྟོད་_100_
[པ_100_],པ_100_,པ_100_,པ_100_,པ_100_,པ_100_,པ_100_,པ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[བཀྲ་_100_],བཀྲ་_100_,བཀྲ་_100_,བཀྲ་_100_,བཀྲ་_100_,བཀྲ་_100_,བཀྲ་_100_,བཀྲ་_100_
[ཤིས་_100_],ཤིས་_100_,ཤིས་_100_,ཤིས་_100_,ཤིས་_100_,ཤིས་_100_,ཤིས་_100_,ཤིས་_100_
[རྣམ་_100_],རྣམ་_100_,རྣམ་_100_,རྣམ་_100_,རྣམ་_100_,རྣམ་_100_,རྣམ་_100_,རྣམ་_100_
[པར་_100_],པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_
[འཕེལ་_75_],འཕེལ་_75_,སྤེལ་_25_,སྤེལ་_25_,འཕེལ་_75_,འཕེལ་_75_,འཕེལ་_75_,འཕེལ་_75_
[ཕྱིར་_100_],ཕྱིར་_100_,ཕྱིར་_100_,ཕྱིར་_100_,ཕྱིར་_100_,ཕྱིར་_100_,ཕྱིར་_100_,ཕྱིར་_100_
[རྟག་_100_],རྟག་_100_,རྟག་_100_,རྟག་_100_,རྟག་_100_,རྟག་_100_,རྟག་_100_,རྟག་_100_
[ཏུ་_100_],ཏུ་_100_,ཏུ་_100_,ཏུ་_100_,ཏུ་_100_,ཏུ་_100_,ཏུ་_100_,ཏུ་_100_
[དྲན་_100_],དྲན་_100_,དྲན་_100_,དྲན་_100_,དྲན་_100_,དྲན་_100_,དྲན་_100_,དྲན་_100_
[པར་_100_],པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_
[བྱེད_100_],བྱེད_100_,བྱེད_100_,བྱེད_100_,བྱེད_100_,བྱེད_100_,བྱེད_100_,བྱེད_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[བདུད་_100_],བདུད་_100_,བདུད་_100_,བདུད་_100_,བདུད་_100_,བདུད་_100_,བདུད་_100_,བདུད་_100_
[སྟོབས་_100_],སྟོབས་_100_,སྟོབས་_100_,སྟོབས་_100_,སྟོབས་_100_,སྟོབས་_100_,སྟོབས་_100_,སྟོབས་_100_
[རབ་_100_],རབ་_100_,རབ་_100_,རབ་_100_,རབ་_100_,རབ་_100_,རབ་_100_,རབ་_100_
[ཏུ་_100_],ཏུ་_100_,ཏུ་_100_,ཏུ་_100_,ཏུ་_100_,ཏུ་_100_,ཏུ་_100_,ཏུ་_100_
[འཇོམས་_100_],འཇོམས་_100_,འཇོམས་_100_,འཇོམས་_100_,འཇོམས་_100_,འཇོམས་_100_,འཇོམས་_100_,འཇོམས་_100_
[པའི་_100_],པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_
[བཀྲ་_100_],བཀྲ་_100_,བཀྲ་_100_,བཀྲ་_100_,བཀྲ་_100_,བཀྲ་_100_,བཀྲ་_100_,བཀྲ་_100_
[ཤིས་_100_],ཤིས་_100_,ཤིས་_100_,ཤིས་_100_,ཤིས་_100_,ཤིས་_100_,ཤིས་_100_,ཤིས་_100_
[གང་_100_],གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_
[ཡིན་_100_],ཡིན་_100_,ཡིན་_100_,ཡིན་_100_,ཡིན་_100_,ཡིན་_100_,ཡིན་_100_,ཡིན་_100_
[པ_100_],པ_100_,པ_100_,པ_100_,པ_100_,པ_100_,པ_100_,པ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[རྣམ་_100_],རྣམ་_100_,རྣམ་_100_,རྣམ་_100_,རྣམ་_100_,རྣམ་_100_,རྣམ་_100_,རྣམ་_100_
[སྣང་_100_],སྣང་_100_,སྣང་_100_,སྣང་_100_,སྣང་_100_,སྣང་_100_,སྣང་_100_,སྣང་_100_
[མཛད་_100_],མཛད་_100_,མཛད་_100_,མཛད་_100_,མཛད་_100_,མཛད་_100_,མཛད་_100_,མཛད་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_
[ཐམས་_100_],ཐམས་_100_,ཐམས་_100_,ཐམས་_100_,ཐམས་_100_,ཐམས་_100_,ཐམས་_100_,ཐམས་_100_
[ཅད་_100_],ཅད་_100_,ཅད་_100_,ཅད་_100_,ཅད་_100_,ཅད་_100_,ཅད་_100_,ཅད་_100_
[སྐྱོབ་_100_],སྐྱོབ་_100_,སྐྱོབ་_100_,སྐྱོབ་_100_,སྐྱོབ་_100_,སྐྱོབ་_100_,སྐྱོབ་_100_,སྐྱོབ་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_
[རྣམ་_100_],རྣམ་_100_,རྣམ་_100_,རྣམ་_100_,རྣམ་_100_,རྣམ་_100_,རྣམ་_100_,རྣམ་_100_
[པར་_100_],པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_
[གཟིགས_100_],གཟིགས_100_,གཟིགས_100_,གཟིགས_100_,གཟིགས_100_,གཟིགས_100_,གཟིགས_100_,གཟིགས_100_
