[༄༅། །​བཤེས་པའི་སྤྲིང་ཡིག།༄༅༅། །​རྒྱ་_22_],༄༅། །​བཤེས་པའི་སྤྲིང་ཡིག།༄༅༅། །​རྒྱ་_22_,༄༅། །​བཤེས་པའི་སྤྲིང་ཡིག།༄༅༅། །​རྒྱ་_22_,༄༅། །​བཤེས་པའི་སྤྲིང་ཡིག།༄༅༅། །​རྒྱ་_22_,༄༅༅། །​རྒྱ་_11_,༄༅། །​བཤེས་པའི་སྤྲིང་ཡིག༄༅༅། །​རྒྱ་_5_,༄༅༅། །​རྒྱ་_11_,བཤེས་པའི་སྤྲིངས་ཡིག་བཞུགས་སོ། །​༄༅། །​རྒྱ་_5_,༄༅། །​བཤེས་པའི་སྤྲིང་ཡིག༄༅། །​རྒྱ་_5_,བཤེས་པའི་སྤྲིང་ཡིགརྒྱ་_5_,༄༅། །​བཤེས་པའི་སྤྲིང་ཡིག་བཞུགས་སོ། །​རྒྱ་_11_,བཤེས་པའི་སྤྲིང་ཡིག༄༅། །​ཧྲི ད ལེ ཁ ནཱ མ བི ཧ ར ཏི སྨ། །​༄༅། །​བཤེས་པའི་སྤྲིང་ཡིག་ཅེས་བྱ་བ་བཞུགས་སོ། །​༄༅། །​ རྒྱ་_5_,༄༅། །​བཤེས་པའི་སྤྲིང་ཡིག་བཞུགས་སོ། །​༄༅༅། །​རྒྱ་_5_,༄༅། །​བཤེས་པའི་སྤྲིང་ཡིག་བཞུགས་སོ། །​ རྒྱ་_11_,༄༅། །​བཤེས་པའི་སྤྲིང་ཡིག་བཞུགས་སོ། །​རྒྱ་_11_,༄༅། །​བཤེས་པའི་སྤྲིང་ཡིག་བཞུགས་སོ། །​ རྒྱ་_11_,བཤེས་པའི་སྤྲིང་ཡིག༄༅། །​རྒྱ་_5_,བཤེས་པའི་སྤྲིངས་ཡིགརྒྱ་_5_
[བདག་_100_],བདག་_100_,བདག་_100_,བདག་_100_,བདག་_100_,བདག་_100_,བདག་_100_,བདག་_100_,བདག་_100_,བདག་_100_,བདག་_100_,བདག་_100_,བདག་_100_,བདག་_100_,བདག་_100_,བདག་_100_,བདག་_100_,བདག་_100_
[གིས་_100_],གིས་_100_,གིས་_100_,གིས་_100_,གིས་_100_,གིས་_100_,གིས་_100_,གིས་_100_,གིས་_100_,གིས་_100_,གིས་_100_,གིས་_100_,གིས་_100_,གིས་_100_,གིས་_100_,གིས་_100_,གིས་_100_,གིས་_100_
[ནི_100_],ནི_100_,ནི_100_,ནི_100_,ནི_100_,ནི_100_,ནི_100_,ནི_100_,ནི_100_,ནི_100_,ནི_100_,ནི_100_,ནི_100_,ནི_100_,ནི_100_,ནི_100_,ནི_100_,ནི_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[བདེ་_100_],བདེ་_100_,བདེ་_100_,བདེ་_100_,བདེ་_100_,བདེ་_100_,བདེ་_100_,བདེ་_100_,བདེ་_100_,བདེ་_100_,བདེ་_100_,བདེ་_100_,བདེ་_100_,བདེ་_100_,བདེ་_100_,བདེ་_100_,བདེ་_100_,བདེ་_100_
[བར་_94_],བར་_94_,བར་_94_,བར་_94_,བར་_94_,བར་_94_,བར་_94_,བར་_94_,བར་_94_,བར་_94_,བར་_94_,བར་_94_,བར་_94_,བར་_94_,བར་_94_,བར་_94_,བར་_94_,བ་_5_
[གཤེགས་_100_],གཤེགས་_100_,གཤེགས་_100_,གཤེགས་_100_,གཤེགས་_100_,གཤེགས་_100_,གཤེགས་_100_,གཤེགས་_100_,གཤེགས་_100_,གཤེགས་_100_,གཤེགས་_100_,གཤེགས་_100_,གཤེགས་_100_,གཤེགས་_100_,གཤེགས་_100_,གཤེགས་_100_,གཤེགས་_100_,གཤེགས་_100_
[པའི་_100_],པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_
[གསུང་_100_],གསུང་_100_,གསུང་_100_,གསུང་_100_,གསུང་_100_,གསུང་_100_,གསུང་_100_,གསུང་_100_,གསུང་_100_,གསུང་_100_,གསུང་_100_,གསུང་_100_,གསུང་_100_,གསུང་_100_,གསུང་_100_,གསུང་_100_,གསུང་_100_,གསུང་_100_
[བསྙད་_100_],བསྙད་_100_,བསྙད་_100_,བསྙད་_100_,བསྙད་_100_,བསྙད་_100_,བསྙད་_100_,བསྙད་_100_,བསྙད་_100_,བསྙད་_100_,བསྙད་_100_,བསྙད་_100_,བསྙད་_100_,བསྙད་_100_,བསྙད་_100_,བསྙད་_100_,བསྙད་_100_,བསྙད་_100_
