[༄༅། །​འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱི་སྨོན་ལམ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། །​ཨཱ་རྱ་ནཱ་གཱ་རྫུན་_40_],༄༅། །​འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱི་སྨོན་ལམ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། །​ཨཱ་རྱ་ནཱ་གཱ་རྫུན་_40_,༄༅། །​འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱི་སྨོན་ལམ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། །​ཨཱ་རྱ་ནཱ་གཱ་རྫུན་_40_,༄༅། །​འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱི་སྨོན་ལམ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། །​ཨཱ་རྱ་ནཱ་གཱ་རྫུན་_40_,༄༅༅། །​རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ནཱ་གཱ་རྫུ་ན་_20_,༄༅༅། །​རྒྱ་གར་སྐད་དུ། །​ཨཱ་རྱ་ནཱ་གཱ་རྫུན་_10_,༄༅༅། །​རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ནཱ་གཱ་རྫུ་ན་_20_,མགོན་འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱི་སྨོན་ལམ།རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ནཱ་གཱ་རྫུ་ན་_10_,༄༅། །​འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱི་སྨོན་ལམ་ཞེས་བྱ་བ།༄༅། །​རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ནཱ་གཱ་རྫུ་ན་_20_,༄༅། །​འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱི་སྨོན་ལམ་ཞེས་བྱ་བ།༄༅། །​རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ནཱ་གཱ་རྫུ་ན་_20_
[སྐྱེ་_100_],སྐྱེ་_100_,སྐྱེ་_100_,སྐྱེ་_100_,སྐྱེ་_100_,སྐྱེ་_100_,སྐྱེ་_100_,སྐྱེ་_100_,སྐྱེ་_100_,སྐྱེ་_100_
[བློན་_100_],བློན་_100_,བློན་_100_,བློན་_100_,བློན་_100_,བློན་_100_,བློན་_100_,བློན་_100_,བློན་_100_,བློན་_100_
[པོ་_100_],པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[དམག་_100_],དམག་_100_,དམག་_100_,དམག་_100_,དམག་_100_,དམག་_100_,དམག་_100_,དམག་_100_,དམག་_100_,དམག་_100_
[དཔོན་_100_],དཔོན་_100_,དཔོན་_100_,དཔོན་_100_,དཔོན་_100_,དཔོན་_100_,དཔོན་_100_,དཔོན་_100_,དཔོན་_100_,དཔོན་_100_
[ཞལ་_100_],ཞལ་_100_,ཞལ་_100_,ཞལ་_100_,ཞལ་_100_,ཞལ་_100_,ཞལ་_100_,ཞལ་_100_,ཞལ་_100_,ཞལ་_100_
[ཆེ་_100_],ཆེ་_100_,ཆེ་_100_,ཆེ་_100_,ཆེ་_100_,ཆེ་_100_,ཆེ་_100_,ཆེ་_100_,ཆེ་_100_,ཆེ་_100_
[གཅོད་_100_],གཅོད་_100_,གཅོད་_100_,གཅོད་_100_,གཅོད་_100_,གཅོད་_100_,གཅོད་_100_,གཅོད་_100_,གཅོད་_100_,གཅོད་_100_
[པར་_90_],པར་_90_,པར་_90_,པར་_90_,པར་_90_,པར་_90_,པར་_90_,པ་_10_,པར་_90_,པར་_90_
[བདག་_100_],བདག་_100_,བདག་_100_,བདག་_100_,བདག་_100_,བདག་_100_,བདག་_100_,བདག་_100_,བདག་_100_,བདག་_100_
[མ་_100_],མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_
[སྐྱེ_100_],སྐྱེ_100_,སྐྱེ_100_,སྐྱེ_100_,སྐྱེ_100_,སྐྱེ_100_,སྐྱེ_100_,སྐྱེ_100_,སྐྱེ_100_,སྐྱེ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[ཁེ་_100_],ཁེ་_100_,ཁེ་_100_,ཁེ་_100_,ཁེ་_100_,ཁེ་_100_,ཁེ་_100_,ཁེ་_100_,ཁེ་_100_,ཁེ་_100_
[བྱེད་_100_],བྱེད་_100_,བྱེད་_100_,བྱེད་_100_,བྱེད་_100_,བྱེད་_100_,བྱེད་_100_,བྱེད་_100_,བྱེད་_100_,བྱེད་_100_
[ཏིལ་བརྡུང་_60_],ཏིལ་བརྡུང་_60_,སྤྱོད་བརྡུང་ཆང་རྡུང་_20_,སྤྱོད་བརྡུང་ཆང་རྡུང་_20_,ཏིལ་བརྡུང་_60_,ཏིལ་བརྡུང་_60_,ཏིལ་བརྡུང་_60_,ཏིལ་བརྡུང་_60_,ཏིལ་“བརྡུང་_20_,ཏིལ་“བརྡུང་_20_
[ཆང་_100_],ཆང་_100_,ཆང་_100_,ཆང་_100_,ཆང་_100_,ཆང་_100_,ཆང་_100_,ཆང་_100_,ཆང་_100_,ཆང་_100_
[འཚོང་_60_],འཚོང་_60_,ཚོང་_20_,ཚོང་_20_,འཚོང་_60_,འཚོང་_60_,འཚོང་_60_,འཚོང་_60_,འཚོང་“_20_,འཚོང་“_20_
[རྐུན་_100_],རྐུན་_100_,རྐུན་_100_,རྐུན་_100_,རྐུན་_100_,རྐུན་_100_,རྐུན་_100_,རྐུན་_100_,རྐུན་_100_,རྐུན་_100_
[པོ་_100_],པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[བྲན་_100_],བྲན་_100_,བྲན་_100_,བྲན་_100_,བྲན་_100_,བྲན་_100_,བྲན་_100_,བྲན་_100_,བྲན་_100_,བྲན་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_
[བྲན་_100_],བྲན་_100_,བྲན་_100_,བྲན་_100_,བྲན་_100_,བྲན་_100_,བྲན་_100_,བྲན་_100_,བྲན་_100_,བྲན་_100_
