[༄། །​_62_],༄། །​_62_,༄། །​_62_,༄། །​_62_,༄༅། །​_25_,༄། །​_62_,༄༅། །​_25_,ལོག་སྒྲོན་མ་ཞེས་བྱ་བ།ཀླུ་སྒྲུབ།_12_
[འཇིག་_100_],འཇིག་_100_,འཇིག་_100_,འཇིག་_100_,འཇིག་_100_,འཇིག་_100_,འཇིག་_100_,འཇིག་_100_
[རྟེན་_100_],རྟེན་_100_,རྟེན་_100_,རྟེན་_100_,རྟེན་_100_,རྟེན་_100_,རྟེན་_100_,རྟེན་_100_
[རི་_100_],རི་_100_,རི་_100_,རི་_100_,རི་_100_,རི་_100_,རི་_100_,རི་_100_
[རབ་_100_],རབ་_100_,རབ་_100_,རབ་_100_,རབ་_100_,རབ་_100_,རབ་_100_,རབ་_100_
[ལྷུན་_100_],ལྷུན་_100_,ལྷུན་_100_,ལྷུན་_100_,ལྷུན་_100_,ལྷུན་_100_,ལྷུན་_100_,ལྷུན་_100_
[པོ་_100_],པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[གསེར་_100_],གསེར་_100_,གསེར་_100_,གསེར་_100_,གསེར་_100_,གསེར་_100_,གསེར་_100_,གསེར་_100_
[གྱི་_100_],གྱི་_100_,གྱི་_100_,གྱི་_100_,གྱི་_100_,གྱི་_100_,གྱི་_100_,གྱི་_100_
[རི་_100_],རི་_100_,རི་_100_,རི་_100_,རི་_100_,རི་_100_,རི་_100_,རི་_100_
[བདུན་_100_],བདུན་_100_,བདུན་_100_,བདུན་_100_,བདུན་_100_,བདུན་_100_,བདུན་_100_,བདུན་_100_
[རོལ་_100_],རོལ་_100_,རོལ་_100_,རོལ་_100_,རོལ་_100_,རོལ་_100_,རོལ་_100_,རོལ་_100_
[མཚོ་ཆེན་པོ་_87_],མཚོ་ཆེན་པོ་_87_,མཚོ་ཆེན་པོ་_87_,མཚོ་ཆེན་པོ་_87_,མཚོ་ཆེན་པོ་_87_,མཚོ་ཆེན་པོ་_87_,མཚོ་ཆེནཔོ་_12_,མཚོ་ཆེན་པོ་_87_
[བདུན_100_],བདུན_100_,བདུན_100_,བདུན_100_,བདུན_100_,བདུན_100_,བདུན_100_,བདུན_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[གླིང་_100_],གླིང་_100_,གླིང་_100_,གླིང་_100_,གླིང་_100_,གླིང་_100_,གླིང་_100_,གླིང་_100_
[བཞི་_100_],བཞི་_100_,བཞི་_100_,བཞི་_100_,བཞི་_100_,བཞི་_100_,བཞི་_100_,བཞི་_100_
[གླིང་_100_],གླིང་_100_,གླིང་_100_,གླིང་_100_,གླིང་_100_,གླིང་_100_,གླིང་_100_,གླིང་_100_
[ཕྲན་_100_],ཕྲན་_100_,ཕྲན་_100_,ཕྲན་_100_,ཕྲན་_100_,ཕྲན་_100_,ཕྲན་_100_,ཕྲན་_100_
[ལྕགས་_100_],ལྕགས་_100_,ལྕགས་_100_,ལྕགས་_100_,ལྕགས་_100_,ལྕགས་_100_,ལྕགས་_100_,ལྕགས་_100_
[རི་_100_],རི་_100_,རི་_100_,རི་_100_,རི་_100_,རི་_100_,རི་_100_,རི་_100_
[མུ་_100_],མུ་_100_,མུ་_100_,མུ་_100_,མུ་_100_,མུ་_100_,མུ་_100_,མུ་_100_
[ཁྱུད་_100_],ཁྱུད་_100_,ཁྱུད་_100_,ཁྱུད་_100_,ཁྱུད་_100_,ཁྱུད་_100_,ཁྱུད་_100_,ཁྱུད་_100_
[ཡང་_100_],ཡང་_100_,ཡང་_100_,ཡང་_100_,ཡང་_100_,ཡང་_100_,ཡང་_100_,ཡང་_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[འཇིག་_100_],འཇིག་_100_,འཇིག་_100_,འཇིག་_100_,འཇིག་_100_,འཇིག་_100_,འཇིག་_100_,འཇིག་_100_
[པའི་_100_],པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_
[དུས་_100_],དུས་_100_,དུས་_100_,དུས་_100_,དུས་_100_,དུས་_100_,དུས་_100_,དུས་_100_
[ན་_87_],ན་_87_,ན་_87_,ན་_87_,ན་_87_,ན་_87_,ཐན་_12_,ན་_87_
[བསྐལ་_100_],བསྐལ་_100_,བསྐལ་_100_,བསྐལ་_100_,བསྐལ་_100_,བསྐལ་_100_,བསྐལ་_100_,བསྐལ་_100_
[པའི་_100_],པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_
[མེ་_100_],མེ་_100_,མེ་_100_,མེ་_100_,མེ་_100_,མེ་_100_,མེ་_100_,མེ་_100_
[བྱུང་_100_],བྱུང་_100_,བྱུང་_100_,བྱུང་_100_,བྱུང་_100_,བྱུང་_100_,བྱུང་_100_,བྱུང་_100_
[བས_87_],བས_87_,བས_87_,བའི_12_,བས_87_,བས_87_,བས_87_,བས_87_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[ཐལ་_100_],ཐལ་_100_,ཐལ་_100_,ཐལ་_100_,ཐལ་_100_,ཐལ་_100_,ཐལ་_100_,ཐལ་_100_
[བའི་_100_],བའི་_100_,བའི་_100_,བའི་_100_,བའི་_100_,བའི་_100_,བའི་_100_,བའི་_100_
[ལྷག་_100_],ལྷག་_100_,ལྷག་_100_,ལྷག་_100_,ལྷག་_100_,ལྷག་_100_,ལྷག་_100_,ལྷག་_100_
[མ་_100_],མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_
[ཙམ་_100_],ཙམ་_100_,ཙམ་_100_,ཙམ་_100_,ཙམ་_100_,ཙམ་_100_,ཙམ་_100_,ཙམ་_100_
[ཡང་_100_],ཡང་_100_,ཡང་_100_,ཡང་_100_,ཡང་_100_,ཡང་_100_,ཡང་_100_,ཡང་_100_
[མི་_100_],མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_
[ལུས་ཏེ། །​ཐ་མར་ཆུ་དང་རླུང་གིས་འཇིག་པས་ན། །​བརྟན་ཞིང་ངེས་པ་འདྲ་སྟེ་བརྟག་མི་_87_],ལུས་ཏེ། །​ཐ་མར་ཆུ་དང་རླུང་གིས་འཇིག་པས་ན། །​བརྟན་ཞིང་ངེས་པ་འདྲ་སྟེ་བརྟག་མི་_87_,ལུས་ཏེ། །​ཐ་མར་ཆུ་དང་རླུང་གིས་འཇིག་པས་ན། །​བརྟན་ཞིང་ངེས་པ་འདྲ་སྟེ་བརྟག་མི་_87_,ལུས་ཏེ། །​ཐ་མར་ཆུ་དང་རླུང་གིས་འཇིག་པས་ན། །​བརྟན་ཞིང་ངེས་པ་འདྲ་སྟེ་བརྟག་མི་_87_,ལུས་ཏེ། །​ཐ་མར་ཆུ་དང་རླུང་གིས་འཇིག་པས་ན། །​བརྟན་ཞིང་ངེས་པ་འདྲ་སྟེ་བརྟག་མི་_87_,ལུས་ཏེ། །​ཐ་མར་ཆུ་དང་རླུང་གིས་འཇིག་པས་ན། །​བརྟན་ཞིང་ངེས་པ་འདྲ་སྟེ་བརྟག་མི་_87_,ལུས་ཏེབརྟན་ཞིང་ངེས་པ་འདྲ་སྟེ་བརྟག་མི་མར་ཆུ་དང་རླུང་གིས་འཇིག་པས་ན། _12_,ལུས་ཏེ། །​ཐ་མར་ཆུ་དང་རླུང་གིས་འཇིག་པས་ན། །​བརྟན་ཞིང་ངེས་པ་འདྲ་སྟེ་བརྟག་མི་_87_
