[༄༅། །​ཀླུའི་དབང་ཕྱུག་རྒྱལ་པོའི་སྒྲུབ་ཐབས།༄༅༅། །​_62_],༄༅། །​ཀླུའི་དབང་ཕྱུག་རྒྱལ་པོའི་སྒྲུབ་ཐབས།༄༅༅། །​_62_,༄༅། །​ཀླུའི་དབང་ཕྱུག་རྒྱལ་པོའི་སྒྲུབ་ཐབས།༄༅༅། །​_62_,༄༅། །​ཀླུའི་དབང་ཕྱུག་རྒྱལ་པོའི་སྒྲུབ་ཐབས།༄༅༅། །​_62_,༄༅། །​ཀླུའི་དབང་ཕྱུག་རྒྱལ་པོའི་སྒྲུབ་ཐབས།༄༅༅། །​_62_,༄༅༅། །​_12_,བཅོམ་ལྡན་འདས་ཀླུའི་དབང་ཕྱུག་རྒྱལ་པོའི་སྒྲུབ་ཐབས་ལས་ཚོགས་རྗེས་གནང་དང་བཅས་པའི་སྐོར་རྣམས་བཞུགས་སོ། །​༄༅། །​_12_,༄༅། །​_12_
[མུ་_100_],མུ་_100_,མུ་_100_,མུ་_100_,མུ་_100_,མུ་_100_,མུ་_100_,མུ་_100_
[ཁཾ་_100_],ཁཾ་_100_,ཁཾ་_100_,ཁཾ་_100_,ཁཾ་_100_,ཁཾ་_100_,ཁཾ་_100_,ཁཾ་_100_
[སརྦ་_100_],སརྦ་_100_,སརྦ་_100_,སརྦ་_100_,སརྦ་_100_,སརྦ་_100_,སརྦ་_100_,སརྦ་_100_
[དྷརྨཱ་ཎཱཾ་_87_],དྷརྨཱ་ཎཱཾ་_87_,དྷརྨཱ་ཎཱཾ་_87_,དྷརྨཱ་ཎཱཾ་_87_,དྷརྨཱ་ཎཱཾ་_87_,དྷརྨཱ་ཎཱཾ་_87_,དྷརྨཱ་ཎཱཾ་_87_,དྷརྨ་ཎཾ་_12_
[ཨཱདྱ་_100_],ཨཱདྱ་_100_,ཨཱདྱ་_100_,ཨཱདྱ་_100_,ཨཱདྱ་_100_,ཨཱདྱ་_100_,ཨཱདྱ་_100_,ཨཱདྱ་_100_
[ནུཏྤནྣ་_100_],ནུཏྤནྣ་_100_,ནུཏྤནྣ་_100_,ནུཏྤནྣ་_100_,ནུཏྤནྣ་_100_,ནུཏྤནྣ་_100_,ནུཏྤནྣ་_100_,ནུཏྤནྣ་_100_
[ཏྭཱཏ་_62_],ཏྭཱཏ་_62_,ཏྭད་_25_,ཏྭད་_25_,ཏྭཱཏ་_62_,ཏྭཱཏ་_62_,ཏྭོཏྟ་_12_,ཏྭཱཏ་_62_
[ཨོཾ་_100_],ཨོཾ་_100_,ཨོཾ་_100_,ཨོཾ་_100_,ཨོཾ་_100_,ཨོཾ་_100_,ཨོཾ་_100_,ཨོཾ་_100_
[ཨཱཿཧཱུཾ་_75_],ཨཱཿཧཱུཾ་_75_,ཨཱཿཧཱུཾ་_75_,ཨཱཿཧཱུཾ་_75_,ཨཱཿཧཱུཾ་_75_,ཨཱཿཧཱུཾ་_75_,ཨཱཿ ཧཱུྃ་_12_,ཨཱཧཱུྃ་_12_
[ཕཊ་_100_],ཕཊ་_100_,ཕཊ་_100_,ཕཊ་_100_,ཕཊ་_100_,ཕཊ་_100_,ཕཊ་_100_,ཕཊ་_100_
