[༄༅། །​རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བའི་སྙིང་པོའི་རྣམ་པར་བཤད་པ།༄༅༅། །​_50_],༄༅། །​རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བའི་སྙིང་པོའི་རྣམ་པར་བཤད་པ།༄༅༅། །​_50_,༄༅། །​རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བའི་སྙིང་པོའི་རྣམ་པར་བཤད་པ།༄༅༅། །​_50_,༄༅། །​རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བའི་སྙིང་པོའི་རྣམ་པར་བཤད་པ།༄༅༅། །​_50_,༄༅༅། །​_25_,༄༅༅། །​_25_,_12_,༄༅། །​_12_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_
[ལྡན་_100_],ལྡན་_100_,ལྡན་_100_,ལྡན་_100_,ལྡན་_100_,ལྡན་_100_,ལྡན་_100_,ལྡན་_100_
[པའི་_100_],པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_
[སློབ་_100_],སློབ་_100_,སློབ་_100_,སློབ་_100_,སློབ་_100_,སློབ་_100_,སློབ་_100_,སློབ་_100_
[མ་_100_],མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_
[ཞིག་_100_],ཞིག་_100_,ཞིག་_100_,ཞིག་_100_,ཞིག་_100_,ཞིག་_100_,ཞིག་_100_,ཞིག་_100_
[སློབ་_100_],སློབ་_100_,སློབ་_100_,སློབ་_100_,སློབ་_100_,སློབ་_100_,སློབ་_100_,སློབ་_100_
[དཔོན་_100_],དཔོན་_100_,དཔོན་_100_,དཔོན་_100_,དཔོན་_100_,དཔོན་_100_,དཔོན་_100_,དཔོན་_100_
[གྱི་_100_],གྱི་_100_,གྱི་_100_,གྱི་_100_,གྱི་_100_,གྱི་_100_,གྱི་_100_,གྱི་_100_
[གན་_100_],གན་_100_,གན་_100_,གན་_100_,གན་_100_,གན་_100_,གན་_100_,གན་_100_
[དུ་_100_],དུ་_100_,དུ་_100_,དུ་_100_,དུ་_100_,དུ་_100_,དུ་_100_,དུ་_100_
[འོངས་_100_],འོངས་_100_,འོངས་_100_,འོངས་_100_,འོངས་_100_,འོངས་_100_,འོངས་_100_,འོངས་_100_
[ནས_100_],ནས_100_,ནས_100_,ནས_100_,ནས_100_,ནས_100_,ནས_100_,ནས_100_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_
[དེ་_100_],དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_
[བཞིན་_100_],བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_
[གཤེགས་_100_],གཤེགས་_100_,གཤེགས་_100_,གཤེགས་_100_,གཤེགས་_100_,གཤེགས་_100_,གཤེགས་_100_,གཤེགས་_100_
[པས་_100_],པས་_100_,པས་_100_,པས་_100_,པས་_100_,པས་_100_,པས་_100_,པས་_100_
[བསྟན་_100_],བསྟན་_100_,བསྟན་_100_,བསྟན་_100_,བསྟན་_100_,བསྟན་_100_,བསྟན་_100_,བསྟན་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_
[ལས་བརྩམས་_62_],ལས་བརྩམས་_62_,ལ་བརྩམས་_25_,ལ་བརྩམས་_25_,ལས་བརྩམས་_62_,ལས་བརྩམས་_62_,ལས་བརྩམས་_62_,ལས་ཅིབརྩམས་_12_
[ཏེ_100_],ཏེ_100_,ཏེ_100_,ཏེ_100_,ཏེ_100_,ཏེ_100_,ཏེ_100_,ཏེ_100_
[། _100_],། _100_,། _100_,། _100_,། _100_,། _100_,། _100_,། _100_
[འདི་_100_],འདི་_100_,འདི་_100_,འདི་_100_,འདི་_100_,འདི་_100_,འདི་_100_,འདི་_100_
[སྐད་_100_],སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_,སྐད་_100_
[འདྲིའོ_100_],འདྲིའོ_100_,འདྲིའོ_100_,འདྲིའོ_100_,འདྲིའོ_100_,འདྲིའོ_100_,འདྲིའོ_100_,འདྲིའོ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[བཅོམ་_100_],བཅོམ་_100_,བཅོམ་_100_,བཅོམ་_100_,བཅོམ་_100_,བཅོམ་_100_,བཅོམ་_100_,བཅོམ་_100_
