[༄༅། །​རྩོད་པ་བཟློག་པའི་འགྲེལ་པ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། བི་གྲ་ཧ་བྱ་བརྟ་ནི་བྲྀཏྟི_30_],༄༅། །​རྩོད་པ་བཟློག་པའི་འགྲེལ་པ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། བི་གྲ་ཧ་བྱ་བརྟ་ནི་བྲྀཏྟི_30_,༄༅། །​རྩོད་པ་བཟློག་པའི་འགྲེལ་པ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། བི་གྲ་ཧ་བྱ་བརྟ་ནི་བྲྀཏྟི_30_,༄༅། །​རྩོད་པ་བཟློག་པའི་འགྲེལ་པ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། བི་གྲ་ཧ་བྱ་བརྟ་ནི་བྲྀཏྟི_30_,རྒྱ་གར་སྐད་དུ། པིགྲ་ཧ་བྱ་བརྟ་ནི་བྲྀ་ནསྤྲ_15_,༄༅ །​ །​རྩོད་པ་བཟློག་པའི་འགྲེལ་པ། ས་ལུགས་དང་༄༅། །​རྒྱ་གར་སྐད་དུ། བི་གྲ་ཧ་བྱ་བརྟ་ནི་བྲྀཏྟི_7_,༄༅༅། །​རྒྱ་གར་སྐད་དུ། བི་གྲ་ཧ་བྱ་བརྟ་ནི་བྲྀཏྟི_15_,༄༅༅། །​རྒྱ་གར་སྐད་དུ། བི་གྲ་ཧ་བྱ་བརྟ་ནི་བྲྀཏྟི_15_,༄༅། །​རྒྱ་གར་སྐད་དུ། བི་གྲ་ཧ་བྱ་བརྟ་ནི་བྲྀཏྟི_15_,། །​ ༄༅༅། །​རྒྱ་གར་སྐད་དུ། བི་གྲ་ཧ་བྱ་བརྟ་ནི་བྲྀཏྟི_7_,༄༅། །​རྒྱ་གར་སྐད་དུ། བི་གྲ་ཧ་བྱ་བརྟ་ནི་བྲྀཏྟི_15_,རྒྱ་གར་སྐད་དུ། པིགྲ་ཧ་བྱ་བརྟ་ནི་བྲྀ་ནསྤྲ_15_,རྒྱ་གར་སྐད་དུ། བིགྲ་ཧ་བྱ་བ་རྟ་ནི་བྲྀ་ཏྟི_7_
[ཀྱི་_92_],ཀྱི་_92_,ཀྱི་_92_,ཀྱི་_92_,ཀྱི་_92_,ཀྱི་_92_,ཀྱི་_92_,ཀྱི་_92_,ཀྱི་_92_,ཀྱི་_92_,ཀ ི་_7_,ཀྱི་_92_,ཀྱི་_92_
[ཚིག་_100_],ཚིག་_100_,ཚིག་_100_,ཚིག་_100_,ཚིག་_100_,ཚིག་_100_,ཚིག་_100_,ཚིག་_100_,ཚིག་_100_,ཚིག་_100_,ཚིག་_100_,ཚིག་_100_,ཚིག་_100_
[ཀྱང་_100_],ཀྱང་_100_,ཀྱང་_100_,ཀྱང་_100_,ཀྱང་_100_,ཀྱང་_100_,ཀྱང་_100_,ཀྱང་_100_,ཀྱང་_100_,ཀྱང་_100_,ཀྱང་_100_,ཀྱང་_100_,ཀྱང་_100_
[རང་_100_],རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_
[བཞིན་_100_],བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_
[མེད_100_],མེད_100_,མེད_100_,མེད_100_,མེད_100_,མེད_100_,མེད_100_,མེད_100_,མེད_100_,མེད_100_,མེད_100_,མེད_100_,མེད_100_
[། །​_92_],། །​_92_,། །​_92_,། །​_92_,། །​_92_,། །​_92_,། །​_92_,། །​_92_,། །​_92_,། །​_92_,། །​ _7_,། །​_92_,། །​_92_
[རང་_100_],རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_
[བཞིན་_100_],བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_,བཞིན་_100_
[བཟློག་_100_],བཟློག་_100_,བཟློག་_100_,བཟློག་_100_,བཟློག་_100_,བཟློག་_100_,བཟློག་_100_,བཟློག་_100_,བཟློག་_100_,བཟློག་_100_,བཟློག་_100_,བཟློག་_100_,བཟློག་_100_
